Title,Link,Publication Date,Authors,Abstract
Assessing contributing factors to fine motor skills in preclinical medical students,https://link.springer.com/article/10.1007/s44186-023-00108-6,31 January 2023,"Jessica Davis-Pollard, Blake Christensen, Kalon Morgan, Michael Dea, Kelsey Link, Andrew Nigh, Isain Zapata, Susan Carter",The use of standardized simulation assessments can be an important tool to help medical students identify their deficiencies and enhance their surgical skill competence. Increasing student’s surgical competence will have a long impact in patient outcomes that will reduce patient risk and surgeon’s burnout.
Time and Access to Copyright-Protected Works in the Digital Age,https://link.springer.com/article/10.1007/s40319-024-01493-1,13 June 2024,Eleni-Tatiani Synodinou,N/A
Truth in interactive fiction,https://link.springer.com/article/10.1007/s11229-022-03935-0,21 October 2022,Alex Fisher,"This paper provides an account of truth in interactive fiction. Interactive fiction allows the audience to make choices, resulting in many different possible fictions within each interactive fiction, unlike in literary fiction where there is just one. Adequately capturing this feature of interactive fiction requires us to address familiar issues regarding impossible fiction and the nature of time in fiction. Truth in interactive fiction thus requires a complex account to capture its multitude of fictions. It is argued that a full account of truth in interactive fiction requires distinguishing two works for each interactive fiction, which contain distinct fictional truths. The actual work encompasses what is in fact represented as fictional (hence mistakes can be fictionally true in this work), whilst in the implied work, truth in fiction is governed by authorial intention, hence mistakes are not fictionally true. This dual account best captures our aesthetic evaluation of interactive fictions, for which we often need to distinguish how the work actually is from how it was intended to be."
From Bench to Podcast: Roman Sarrazin-Gendron,https://link.springer.com/article/10.1038/s41587-024-02309-w,17 July 2024,,N/A
"The Relationship Between Early Maladaptive Schemas, Depression, Anxiety and Problematic Video Gaming Among Female and Male Gamers",https://link.springer.com/article/10.1007/s11469-022-00858-2,27 June 2022,"Andrzej Cudo, Mateusz Dobosz, Mark D. Griffiths, Daria J. Kuss",N/A
Rehabilitation of amblyopia using a digital platform for visual training combined with patching in children: a prospective study,https://link.springer.com/article/10.1007/s00417-024-06475-0,05 April 2024,"Carlos J. Hernández-Rodríguez, Patricia Ferrer-Soldevila, Alberto Artola-Roig, David P. Piñero",To assess the possible benefits of the use of perceptual learning and dichoptic therapy combined with patching in children with amblyopia over the use of only patching.
"Media and Psychoanalysis, A Critical Introduction (2022, Karnac) by Jacob Johanssen and Steffen Kruger Why is psychoanalysis relevant in areas outside the clinic? Abook review by Agnieszka Piotrowska",https://link.springer.com/article/10.1057/s41286-024-00184-z,01 March 2024,Agnieszka Piotrowska,N/A
Impact of the first COVID-19 lockdown on the relationship with parents and peers in a cohort of adolescents with somatic symptom disorder,https://link.springer.com/article/10.1186/s13052-022-01300-y,20 June 2022,"Andrea Trombetta, Laura De Nardi, Giorgio Cozzi, Luca Ronfani, Lara Bigolin, Egidio Barbi, Matteo Bramuzzo, Giuseppe Abbracciavento",To investigate the coping strategies of a group of adolescents with somatic symptom disorder compared to non-somatic symptom disorder peers during the COVID-19 related lockdown.
The Role of Avoidance Coping and Escape Motives in Problematic Online Gaming: A Systematic Literature Review,https://link.springer.com/article/10.1007/s11469-020-00422-w,30 November 2020,"Fiordalisa Melodia, Natale Canale, Mark D. Griffiths","Over the past two decades, research into Internet Gaming Disorder (IGD) has markedly increased due to worldwide spread of online videogames. The reasons and motivations for playing greatly contribute to its popularity. Escapism and avoidance coping strategies have been studied extensively and conceptualized as motives to play. A growing research base has demonstrated a strong association between these motives to play and negative gaming outcomes. Consequently, the aim of the present systematic review was to provide a comprehensive overview of the role of avoidance coping and escape motives in problematic online gaming. A systematic literature search was carried out using academic databases and a total of 26 empirical studies met the inclusion criteria. The results show that escapism and avoidance coping represent both a predictor of IGD and play a mediating role between many psychological factors (e.g., self-esteem, loneliness, self-concept, anxiety) and problematic online gaming. However, the review also highlights the paucity of longitudinal studies that hinder the determination of the causal direction of these associations. Despite this limitation, the evidence has important implication for developing more effective prevention programs and clinical interventions."
Systematic Review of Gaming and Neuropsychological Assessment of Social Cognition,https://link.springer.com/article/10.1007/s11065-023-09599-y,05 September 2023,"Elodie Hurel, Marie Grall-Bronnec, Orianne Bouillard, Marion Chirio-Espitalier, Malcolm Barrangou-Poueys-Darlas, Gaëlle Challet-Bouju",N/A
Relationship of sleep quality with screen-based sedentary time and physical activity in adolescents — the moderating effect of body mass index,https://link.springer.com/article/10.1007/s11325-021-02519-5,15 January 2022,"Tatiana M. Damato, William R. Tebar, Crystian B. S. Oliveira, Bruna T. C. Saraiva, Priscila K. Morelhao, Raphael M. Ritti-Dias, Diego G. D. Christofaro","To analyze the association of sleep quality with reported screen-based sedentary time and reported physical activity, among overweight adolescents."
Associations between screen viewing at 2 and 3.5 years and drawing ability at 3.5 years among children from the French nationwide Elfe birth cohort,https://link.springer.com/article/10.1038/s41598-023-50767-0,03 January 2024,"Lorraine Poncet, Mélèa Saïd, Shuai Yang, Falk Müller-Riemenschneider, Claire Berticat, Michel Raymond, Mélissa Barkat-Defradas, Marie-Aline Charles, Jonathan Y. Bernard","The effect of screen viewing on children’s cognitive development has been of concern among parents and researchers. This study investigated the association between children screen time, as reported by parents, and drawing ability, and the confounding effects of socioeconomic characteristics (such as parental education, household income, migration status) and children’s competing activities (such as drawing practice, extracurricular activity, outdoor time, sleep time, time playing with parents). Participants included 7577 children aged 3.5 years (50% girls) who underwent the Draw-a-person test (McCarthy score [range = 0–12 points]) in the French nationwide Elfe birth cohort, initiated in 2011. Sex-stratified zero-inflated Poisson regression models were used. Increased screen time was associated with a higher likelihood to obtain a null score in boys (OR 1.15, 95% CI 1.07–1.23) and girls (1.13 [1.03–1.24]) and a lower score in girls only (β =  − 0.02, 95% CI − 0.04; − 0.01). After adjusting for SES, associations were no longer observed, indicating that the association between screen time and drawing abilities was confounded by socioeconomic characteristics."
A unified framework to catalogue and classify digital games based on interaction design and validation through clustering techniques,https://link.springer.com/article/10.1007/s11042-024-19614-w,21 June 2024,"L. Cormio, T. Agostinelli, M. Mengoni","The digital games industry has grown exponentially due to the diversification of games and the increasing multiplicity of the user target base. The market explosion and the great variety make digital game cataloguing and classification challenging issues whose effectiveness can advance scientific research and address design, development and distribution. Firstly, the present study reviews previous cataloguing for video and serious games through systematic literature review and, joining together the findings from the literature review, develops a unified cataloguing model based on five definitions. This model can aid designers in tailoring their applications and contribute to disseminating game design knowledge in academic research. Then, a matrix that correlates design principles and the cataloguing model’s metadata is applied to the cataloguing model, obtaining a unified classification system. Together, they offer a comprehensive framework for understanding the multifaceted landscape of digital games, addressing the limitations of existing domain-specific approaches and providing a versatile tool for game designers. Research validation exploits a two-stage cluster analysis using agglomerative hierarchical and k-means clustering on the data extracted from a sample of digital games. The results show the framework's effectiveness in categorizing digital games without a clear-cut distinction between video and serious games. The system's application in real-world scenarios suggests its potential to guide game development. Future work will refine the proposal based on feedback from digital game designers, expanding the research scope to include a broader range of games."
"Relationships Between Gaming Disorder, Risk Factors, and Protective Factors Among a Sample of Chinese University Students Utilizing a Network Perspective",https://link.springer.com/article/10.1007/s11469-023-01049-3,25 April 2023,"Li Li, Zhimin Niu, Yuting Song, Mark D. Griffiths, Hu Wen, Zhao Yu, Songli Mei","Research has demonstrated that some risk and protective factors of gaming disorder (GD) have been identified. However, the interaction of GD with risk and protective factors has rarely been examined from a network analysis perspective. Therefore, the present study examined the relationships between GD, risk factors (i.e., social anxiety and fear of missing out), and protective factors (i.e., resilience, authenticity, and family closeness) utilizing a network analysis approach among a sample of Chinese university students. A cross-sectional study with 1364 participants was performed using the Gaming Disorder Test, the short version of Social Interaction Anxiety Scale (SIAS), the Chinese Trait-State Fear of Missing Out Scale (T-SFoMOSC), the Brief Resilience Scale (BRS), the Authenticity Scale, and a single item assessing family closeness. Social anxiety, FoMO, and two factors of authenticity (i.e., self-alienation and accepting external influence) had positive relationship with GD, while resilience, authentic living, and family closeness had negative relationship with GD. Social anxiety was identified as the core node in the domain-level network. The item “continuation or escalation of gaming” (gd3) and the item “gaming problems” (gd4) constituted the highest edge weight in the facet-level network. The network comparison demonstrated there were no significant differences in relation to network structures and global strengths between gender. The findings suggest bivariate relationships among GD, risk factors (i.e., social anxiety and fear of missing out), and protective factors (i.e., resilience, authenticity, and family closeness). Interventions for GD must be considered through preventing risk factors and increasing protective factors including improving the gaming motivation and maladaptive cognition to decrease negative emotion (e.g., social anxiety and FoMO), enhancing resilience, authentic living and parent–child relationship, as well as decreasing self-alienation and accepting external influence."
"Fear of Missing Out, Gaming Disorder and Internet Gaming Disorder: Systematic Review",https://link.springer.com/article/10.1007/s40429-024-00595-7,14 August 2024,"Vanessa Caba-Machado, Adoración Díaz-López, Juan Manuel Machimbarrena, Joaquín González-Cabrera","Internet gaming disorder (IGD), Gaming disorder (GD) and fear of missing out (FoMO) share a dysfunctional use of technology. Despite the increased academic interest in the relationship between these constructs, no attempts have been made to synthesize extant knowledge on it. Therefore, this paper presents a systematic review following the PRISMA protocol assessing 13 manuscripts."
Effect of mental fatigue on decision-making skill during simulated congested match schedule in professional soccer athletes,https://link.springer.com/article/10.1007/s12144-023-04437-z,01 March 2023,"Leonardo de Sousa Fortes, Bruno T. Barbosa, Arnaldo L. Mortatti, Alexandre Moreira, Maria E. C. Ferreira","The objective of this study was to analyze the effect of mental fatigue from playing videogame immediately prior matches during a simulated congested match schedule (SCMS) on decision-making performance in professional soccer players. Sixteen players participated were volunteers in this study. The participants performed four simulated soccer matches (24-h of interval between matches) during a SCMS. The videogame-induced mental fatigue was performed 20-min prior each match. Decision-making skill assessments were obtained before and after 60-min playing sport-based videogame. The two-way Anova was used to analyze day (1 versus 2 versus 3 versus 4) x time (pre-versus post-videogame) interaction for decision-making skill. It was not observed day x time interaction (F(3, 90) = 0.41; p = 0.73; ηp2 = 0.002), day (F(1, 30) = 0.38; p = 0.76; ηp2 = 0.004) or time (F(1, 30) = 0.25; p = 0.90; ηp2 = 0.002) main effects for decision-making accuracy. There was a significant day x time interaction for response time of decision-making skill (F(3, 90) = 12.1; p = 0.02; ηp2 = 0.09). Impaired response time in post-videogame assessments when compared to pre-videogame for all days (p < 0.05), with a greater impairment on day 3 than days 1 and 2 (p < 0.05). In conclusion, results showed that mental fatigue caused by sport-based videogame immediately prior matches during a SCMS impaired decision-making skill in professional soccer players."
Long-lasting connectivity changes induced by intensive first-person shooter gaming,https://link.springer.com/article/10.1007/s11682-020-00350-2,07 August 2020,"Davide Momi, Carmelo L. Smeralda, Giorgio Di Lorenzo, Francesco Neri, Simone Rossi, Alessandro Rossi, Emiliano Santarnecchi","Action videogames have been shown to induce modifications in perceptual and cognitive systems, as well as in brain structure and function. Nevertheless, whether such changes are correlated with brain functional connectivity modifications outlasting the training period is not known. Functional magnetic resonance imaging (fMRI) was used in order to quantify acute and long-lasting connectivity changes following a sustained gaming experience on a first-person shooter (FPS) game. Thirty-five healthy participants were assigned to either a gaming or a control group prior to the acquisition of resting state fMRI data and a comprehensive cognitive assessment at baseline (T0), post-gaming (T1) and at a 3 months’ follow-up (T2). Seed-based resting-state functional connectivity (rs-FC) analysis revealed a significant greater connectivity between left thalamus and left parahippocampal gyrus in the gamer group, both at T1 and at T2. Furthermore, a positive increase in the rs-FC between the cerebellum, Heschl’s gyrus and the middle frontal gyrus paralleled improvements of in-gaming performance. In addition, baseline rs-FC of left supramarginal gyrus, left middle frontal gyrus and right cerebellum were associated with individual changes in videogame performance. Finally, enhancement of perceptual and attentional measures was observed at both T1 and T2, which correlated with a pattern of rs-FC changes in bilateral occipito-temporal regions belonging to the visual and attention fMRI networks. The present findings increase knowledge on functional connectivity changes induced by action videogames, pointing to a greater and long-lasting synchronization between brain regions associated with spatial orientation, visual discrimination and motor learning even after a relatively short multi-day gaming exposure."
A BCI video game using neurofeedback improves the attention of children with autism,https://link.springer.com/article/10.1007/s12193-020-00339-7,31 July 2020,"Jose Mercado, Lizbeth Escobedo, Monica Tentori","Major usability and technical challenges have created mistrust of the potential of brain computer interfaces used to control video games in challenging environments like healthcare. Despite several studies showing low cost commercial headsets can read the brainwave patterns of its users with great potential for long term adoption; there are limited studies showing its efficacy in concrete healthcare scenarios. In our past work, we developed FarmerKeeper, a BCI using users’ attention to control a runner videogame to support neurofeedback therapies with great usability and user experience. In this paper, beyond usability, we describe the results of a 10-week deployment study with 26 children with severe autism using FarmerKeeper as a tool to support the neurofeedback therapies of children with autism. Pre- and post-assessment evaluation indicate all children with autism improve their attention, attentional control and sustained attention. Two children with autism no longer showed attention impairments in the post-assessment evaluation. We closed discussing directions for future work and the potential benefits of this new generation of BCI videogames in healthcare scenarios."
From classrooms to controllers: how school closures shaped children's video gaming habits,https://link.springer.com/article/10.1007/s00127-024-02635-z,12 March 2024,"Muna Abed Alah, Sami Abdeen, Iheb Bougmiza, Nagah Selim",This study aimed to assess the impact of COVID-19-related school closures on screen time and video gaming habits among governmental school students in Qatar and explore the prevalence of Internet Gaming Disorder (IGD) within this context.
Scaffolding depth cues and perceptual learning in VR to train stereovision: a proof of concept pilot study,https://link.springer.com/article/10.1038/s41598-021-89064-z,12 May 2021,"Angelica Godinez, Santiago Martín-González, Oliver Ibarrondo, Dennis M. Levi","Stereopsis is a valuable feature of human visual perception, which may be impaired or absent in amblyopia and/or strabismus but can be improved through perceptual learning (PL) and videogames. The development of consumer virtual reality (VR) may provide a useful tool for improving stereovision. We report a proof of concept study, especially useful for strabismic patients and/or those with reduced or null stereoacuity. Our novel VR PL strategy is based on a principled approach which included aligning and balancing the perceptual input to the two eyes, dichoptic tasks, exposure to large disparities, scaffolding depth cues and perception for action. We recruited ten adults with normal vision and ten with binocular impairments. Participants played two novel PL games (DartBoard and Halloween) using a VR-HMD. Each game consisted of three depth cue scaffolding conditions, starting with non-binocular and binocular cues to depth and ending with only binocular disparity. All stereo-anomalous participants improved in the game and most (9/10) showed transfer to clinical and psychophysical stereoacuity tests (mean stereoacuity changed from 569 to 296 arc seconds, P < 0.0001). Stereo-normal participants also showed in-game improvement, which transferred to psychophysical tests (mean stereoacuity changed from 23 to a ceiling value of 20 arc seconds, P = 0.001). We conclude that a VR PL approach based on depth cue scaffolding may provide a useful method for improving stereoacuity, and the in-game performance metrics may provide useful insights into principles for effective treatment of stereo anomalies."
Cross-Addiction Risk Profile Associations with COVID-19 Anxiety: a Preliminary Exploratory Study,https://link.springer.com/article/10.1007/s11469-022-00862-6,06 July 2022,"Brendan Dowd, Kaiden Hein, Stephanie L. Diez, Maria Prokofieva, Lee Kannis-Dymand, Vasileios Stavropoulos",N/A
A Scholar's Scientific and Culinary Odyssey through the Land of Legendary Swordsmiths and Computer-Generated Crystals,https://link.springer.com/article/10.1007/s11837-023-06110-z,30 August 2023,Damien Tourret,N/A
Vestibular rehabilitation potential of commercially available virtual reality video games,https://link.springer.com/article/10.1186/s40463-023-00642-9,21 August 2023,"Austin Heffernan, Lindsay Booth, Roland Fletcher, Desmond A. Nunez","Peripheral vestibular disorders affect 2.8–6.5% of people. Standard treatment is vestibular rehabilitation therapy, and virtual reality (VR) could improve outcomes. The objective of this study was to identify the commercially available VR video game that is most congruent to vestibular rehabilitation therapy."
The influence of lifestyles to cope with stress over mental health in pregnant and postpartum women during the COVID-19 pandemic,https://link.springer.com/article/10.1007/s12144-022-03287-5,15 June 2022,"Diego Gómez-Baya, Irene Gómez-Gómez, Sara Domínguez-Salas, Carmen Rodríguez-Domínguez, Emma Motrico","The COVID-19 pandemic affected daily life routines and lifestyles of pregnant and postpartum women and increased their stress and risk of suffering from mental health problems. The aim of this study was to analyse which sociodemographic variables, COVID-19 exposure variables and lifestyles to cope with stress variables predicted anxiety, depression, and PTSD symptoms in pregnant and postpartum women during the COVID-19 pandemic. A cross-sectional design was performed with a sample of 3356 Spanish women participating in the Riseup-PPD-COVID-19 study. These participants completed an online survey composed of measures of anxiety (GAD-7), depression (EPDS), and PTSD related to COVID-19 (Checklist DSM-5), as well as demographics, exposure to COVID-19, and lifestyles to cope with stress. Regarding results, 47.2% showed depression and a third reported anxiety, whereas moderate scores were observed in PTSD symptoms. The most commonly used strategies to cope with stress in the COVID-19 pandemic were talking with friends and family and increasing time with social networks. Better results in mental health were associated with coping strategies such as talking with family and friends or participating in family activities, physical activity, sleeping well at night, eating healthier, and increasing personal care. Furthermore, poor results in mental health were observed in those participants who increased time with screens, ate fast food, reported substance use, and talked more frequently with health professionals. More symptoms were also observed in younger women, primiparous women, and those who reported more exposure to COVID-19. The results underline the need to strengthen the mental health of pregnant and postpartum women. Trial registration: ClinicalTrials.gov Identifier: NCT04595123."
"Impact of immersive virtual reality games or traditional physical exercise on cardiovascular and autonomic responses, enjoyment and sleep quality: a randomized crossover study",https://link.springer.com/article/10.1007/s10055-024-00981-6,04 March 2024,"Jacobo Á. Rubio-Arias, Alberto Verdejo-Herrero, Luis Andreu-Caravaca, Domingo J. Ramos-Campo","Objectives: To assess the potential of immersive virtual reality (IVR) in achieving moderate exercise intensity, and 2) to examine the acute effects of two IVR exergame sessions (BOXVR and Beat Saber), comparing them with the impact of traditional exercise on heart rate variability (HRV), perceived effort, delayed onset muscle soreness, motivation, and sleep. Materials and methods: A crossover design was used. The participants (n = 22) randomly performed two sessions of IVR and one session of moderate intensity physical activity, each session lasting 30 min. Heart Rate (HR) and HRV, Perceived Exertion Scale, Intrinsic Motivation Inventory, sleep quality, and perceived pain, were evaluated. Results: The cardiac response to the activities was significantly higher when participants performed traditional physical activity as compared to the BOXVR and Beat Saber games. Traditional training provided a different HRV response as compared to Beat Saber (LnRMSSD, p = 0.025; SDNN, p = 0.031). Although the sessions were planned for moderate intensity, BOXVR generated a moderate intensity (49.3% HRreserve), Beat Saber (29.6% HRreserve) a light one, and the Circuit session, a vigorous one (62.9% HRreserve). In addition, traditional training reported higher perceived exertion and pain with less enjoyment. Differences were observed between the exergames. BOXVR resulted in a lower cardiac response (HRmax and HRmean), and a higher perception of exertion and pain at 72 h. The sleep variables analyzed were not altered by any of the sessions. Conclusions: BOXVR and traditional training can lead to moderate intensity physical activity. However, traditional training could result in lower adherence to physical exercise programs, as it was perceived as more intense and less enjoyable."
Adolescent gambling behavior: a gender oriented prevention strategy is required?,https://link.springer.com/article/10.1186/s13052-022-01309-3,15 July 2022,"Alessandra Buja, Milena Sperotto, Bruno Genetti, Paolo Vian, Fabio Vittadello, Elisabetta Simeoni, Chiara Zampieri, Vincenzo Baldo","Studies published on gender-related differences in the gambling behavior of adolescents have focused mainly on psychological and social factors. The aim of this study was to develop separate risk factor models for male and female adolescents, considering the environmental, psychological, behavioral and socio-economic factors related to their gambling."
Adolescents’ electronic devices use during the COVID-19 pandemic and its relationship to anxiety and depression levels: a cross-sectional study,https://link.springer.com/article/10.1186/s12888-023-05482-5,10 January 2024,"Suha Hamshari, Shaban Yaseen, Mosab Zayed, Asala Dalasha, Beesan Maraqa, Zaher Nazzal","The aim of this study is to assess the prevalence of anxiety and depression symptoms among adolescent students in the West Bank region of Palestine, with a particular focus on the impact of electronic device usage on their mental well-being."
Relationship between demographic and social variables and performance in virtual reality among healthcare personnel: an observational study,https://link.springer.com/article/10.1186/s12909-024-05180-0,04 March 2024,"Daniel Katz, Benjamin Hyers, Eric Patten, Darren Sarte, Mariano Loo, Garrett W. Burnett","Virtual reality is emerging as an important component of medical education. Although the benefits of virtual reality are apparent, the optimal strategy to orient to or differentiate learners in the virtual space have not been delineated. The purpose of this study was to investigate the relationships between demographic variables, social variables, and self-perceived comfort with technology to performance on a standardized non-medical virtual reality experience."
Revisiting the Twentieth Century Through the Lens of Generation X and Digital Games: A Scoping Review,https://link.springer.com/article/10.1007/s40869-020-00099-0,11 March 2020,"Hannah R. Marston, María del Carmen Miranda Duro","Video games have been around since the 1960s and have impacted upon society in a myriad of different ways. The purpose of this scoping review is to identify existing literature within the domain of video games which recruited participants from the Generation X (1965–1980) cohort. Six databases were searched (ACM, CINHAL Google Scholar, PubMed, Scopus, and Web of Science) focusing on published journal papers between 1970 and 2000. Search results identified 3186 articles guided by the PRISMA Extension for Scoping Reviews (PRISMA-ScR); 4 papers were irretrievable, 138 duplicated papers were removed, leaving 3048 were assessed for eligibility and 3026 were excluded. Articles (n = 22) were included into this review, with four papers primarily published in 1997 and in 1999. Thematic analysis identified five primary themes: purpose and objectives, respective authors’ reporting, technology, ethics and environment) and seven secondary themes: populations, type of participants (e.g. children, students), ethical approval, study design, reimbursement, language, type of assessments. This scoping review is distinctive because it primarily focuses on Generation X, who have experienced and grown-up with videogames, and contributes to several disciplines including: game studies, gerontology and health, and has wider implications from a societal, design and development perspective of video games."
The Role of Self-Esteem in Protecting Against Cyber-Victimization and Gaming Disorder Symptoms Among Adolescents: A Temporal Dynamics Analysis,https://link.springer.com/article/10.1007/s10964-023-01890-8,30 October 2023,"Qian Nie, Mark D. Griffiths, Zhaojun Teng","Previous literature has suggested that victimization is linked to low self-esteem and increases the symptoms of gaming disorder. However, little is known about the intra-individual processes, and the temporal dynamics of cyber-victimization, self-esteem, and gaming disorder symptoms. To address this gap, a three-year longitudinal study was performed using data collected at six different time points from 4206 Chinese adolescents (aged 12–17 years; 50.4% boys). Results of random intercept cross-lagged panel models (RI-CLPMs) indicated that at the within-person level, the fluctuation in self-esteem weakly predicted late cyber-victimization, and the fluctuation of cyber-victimization also weakly predicted late self-esteem. Additionally, the current study identified an interactive effect between self-esteem and gaming disorder symptoms at the within-person level. Fluctuations in self-esteem negatively predicted late gaming disorder symptoms, and vice versa. However, when combining the three variables (i.e., cyber-victimization, self-esteem, and gaming disorder symptoms) into one RI-CLPM, the results did not support the mediation of self-esteem in the relationship between cyber-victimization and gaming disorder symptoms at the within-person level. Moreover, fluctuations in self-esteem negatively predicted late gaming disorder symptoms and cyber-victimization at the within-person level in the RI-CLPM. These findings emphasize the protective role of self-esteem developed against cyber-victimization and gaming disorder symptoms among adolescents."
"Cognitive, Metacognitive, Motivational, and Emotional Predictors of the Intensity of Internet Gaming Disorder among Adolescents",https://link.springer.com/article/10.1007/s11126-024-10075-w,01 July 2024,"Mehdi Akbari, Nima Mohammadaliha, Shahram Mohammadkhani, Mohammad Seydavi, Mark D. Griffiths","Internet gaming disorder (IGD) is multifaceted and can have significant negative consequences. The present study examined the contribution of cognitive, metacognitive, motivational, and emotional factors as predictors for IGD severity. In a cross-sectional study, 703 Iranian adolescents (36.8% females, mean age = 16.98 years [SD = 1.23]) completed an online survey. Hierarchical regression analysis showed that the cognitive, metacognitive, motivational, and emotional factors predicted 7.8%, 17.4%, 1.4%, and 1.9% of the variance in IGD symptoms, respectively. The findings indicated that the cognitive factors including some maladaptive cognitions, such as cognitive salience, regret, and perfectionism, and metacognitive factors including some maladaptive metacognitions (negative metacognitions regarding the uncontrollability of online gaming and negative metacognitions regarding the dangers of online gaming) were significant predictors of IGD severity, highlighting their importance in understanding and predicting problematic gaming behaviors. Although contributing to the variance in IGD, motivational factors (escape, coping, and skill development) and emotional factors including emotion regulation (especially reappraisal) played relatively smaller roles compared to cognitive and metacognitive factors. Of the examined predictive factors, metacognitions were the most important predictor of IGD severity. Exploratory moderator analyses showed significant interactions between three predictors of IGD (reappraisal, negative metacognitions, and cognitive salience) with loneliness, stress, anxiety, and depressive symptoms. Reappraisal was the most frequent predictor and had a significant interaction with these variables. Other predictors independently impacted IGD irrespective of the level of loneliness, stress, anxiety, or depressive symptoms. Based on these findings, special attention to metacognitive, cognitive, emotional, and motivational factors is suggested in the treatment of IGD."
Orthodontic patients and the information found on the web: a cross-sectional study,https://link.springer.com/article/10.1186/s12903-023-03609-4,13 November 2023,"Roberta Crispino, Alice Mannocci, Irene Alfonsa Dilena, Jackson Sides, Federico Forchini, Wael Mohammad Asif Alherawi, Sylvia A. Frazier-Bowers, Cristina Grippaudo","In recent years, the Web has become a source of medical information for patients, even though the information available online may be incorrect or qualitatively inadequate. Younger generations, immersed in a digital environment since a very tender age, are more likely to get informed online. This study aims to understand the relevance of online information for prospective orthodontic patients and to investigate the effects of digital research on patients’ decision-making process, and it also aims to investigate potential generational differences between digital natives and digital immigrants."
Effects and acceptability of virtual reality to facilitate mindfulness practice in university students,https://link.springer.com/article/10.1007/s12528-023-09393-y,17 December 2023,"Marta Modrego-Alarcón, Héctor Morillo, Daniel Campos, María Teresa Navarro-Gil, Jesús Montero-Marín, Alicia Monreal-Bartolomé, Javier García-Campayo, Yolanda López-Del-Hoyo","Mindfulness practices have proven to be effective for improving the mental health of many populations, including university students. However, these practices can be challenging for naive meditators. Virtual reality (VR) can create virtual scenarios that facilitate the practice of mindfulness. This study presents secondary data from a randomized controlled trial on the effects and acceptability of mindfulness-based VR environments conducted with a sample of university students. Specifically, it involved a single condition (n = 93) receiving an intervention that comprised six short mindfulness sessions in VR. Measurements were taken of participants’ state mindfulness and emotional state immediately before and after the implementation of each VR environment. Sense of presence was measured subsequent to each VR environment. Furthermore, participants were asked to rate their expectations for at baseline and satisfaction with the experience after the intervention. Participants significantly improved both state mindfulness and emotional states, and they reported a moderate-to-strong sense of presence in each of the VR environments. Moreover, participants reported high expectation and satisfaction scores for the intervention. This study shows the potential of VR in mindfulness, although there is a need for more research in this area and, in particular, more sophisticated trial designs."
Association between sedentary behavior and bone mass in adolescents,https://link.springer.com/article/10.1007/s00198-020-05412-1,28 April 2020,"A. Pelegrini, J. A. Klen, A. M. Costa, M. A. Bim, G. S. Claumann, H. C. C. De Angelo, A. de Araújo Pinto","The effects of sedentary behavior on adolescents’ bone health are controversial because, even in normal weight individuals, the excessive time spent in some specific types of these behaviors appears to have no negative effect on bone health."
Multisensory GPS impact on spatial representation in an immersive virtual reality driving game,https://link.springer.com/article/10.1038/s41598-022-11124-9,05 May 2022,"Laura Seminati, Jacob Hadnett-Hunter, Richard Joiner, Karin Petrini","Individuals are increasingly relying on GPS devices to orient and find their way in their environment and research has pointed to a negative impact of navigational systems on spatial memory. We used immersive virtual reality to examine whether an audio–visual navigational aid can counteract the negative impact of visual only or auditory only GPS systems. We also examined the effect of spatial representation preferences and abilities when using different GPS systems. Thirty-four participants completed an IVR driving game including 4 GPS conditions (No GPS; audio GPS; visual GPS; audio–visual GPS). After driving one of the routes in one of the 4 GPS conditions, participants were asked to drive to a target landmark they had previously encountered. The audio–visual GPS condition returned more accurate performance than the visual and no GPS condition. General orientation ability predicted the distance to the target landmark for the visual and the audio–visual GPS conditions, while landmark preference predicted performance in the audio GPS condition. Finally, the variability in end distance to the target landmark was significantly reduced in the audio–visual GPS condition when compared to the visual and audio GPS conditions. These findings support theories of spatial cognition and inform the optimisation of GPS designs."
"Direct and indirect effects of physiological, psychological and cognitive variables on academic achievement in children",https://link.springer.com/article/10.1038/s41390-024-03322-0,28 June 2024,"María Eugenia Visier-Alfonso, Laura Ros-Segura, Mairena Sánchez-López, Estela Jiménez-López, Vicente Martínez-Vizcaíno","Associations between cardiorespiratory fitness (CRF), screen time, psychological well-being, executive functions, and academic achievement have been reported, however, few studies have analysed models considering the effect of all these variables on academic achievement. This study aims to analyse the direct and indirect associations of mothers’ education level, CRF, screen time, psychological well-being, executive functions, with academic achievement in schoolchildren, by sex."
Prenatal and childhood exposure to chlordecone and adiposity of seven-year-old children in the Timoun mother–child cohort study in Guadeloupe (French West Indies),https://link.springer.com/article/10.1186/s12940-022-00850-2,19 April 2022,"Nathalie Costet, Antoine Lafontaine, Florence Rouget, Léah Michineau, Christine Monfort, Jean-Pierre Thomé, Philippe Kadhel, Luc Multigner, Sylvaine Cordier",Exposure to persistent environmental organic pollutants may contribute to the development of obesity among children. Chlordecone is a persistent organochlorine insecticide with estrogenic properties that was used in the French West Indies (1973–1993) and is still present in the soil and the water and food consumed by the local population. We studied the association between prenatal and childhood exposure to chlordecone and the adiposity of prepubertal children.
