Title,Link,Publication Date,Authors,Abstract,Preprocess Abstract
Serious games in high-stakes assessment contexts: a systematic literature review into the game design principles for valid game-based performance assessment,https://link.springer.com/article/10.1007/s11423-024-10362-0,08 April 2024,"Aranka Bijl, Bernard P. Veldkamp, Saskia Wools, Sebastiaan de Klerk","The systematic literature review (1) investigates whether ‘serious games’ provide a viable solution to the limitations posed by traditional high-stakes performance assessments and (2) aims to synthesize game design principles for the game-based performance assessment of professional competencies. In total, 56 publications were included in the final review, targeting knowledge, motor skills and cognitive skills and further narrowed down to teaching, training or assessing professional competencies. Our review demonstrates that serious games are able to provide an environment and task authentic to the target competency. Collected in-game behaviors indicate that serious games are able to elicit behavior that is related to a candidates’ ability level. Progress feedback and freedom of gameplay in serious games can be implemented to provide an engaging and enjoyable environment for candidates. Few studies examined adaptivity and some examined serious games without an authentic environment or task. Overall, the review gives an overview of game design principles for game-based performance assessment. It highlights two research gaps regarding authenticity and adaptivity and concludes with three implications for practice.",systematic literature review investigates games provide viable solution limitations posed traditional highstakes performance assessments aims synthesize game design principles gamebased performance assessment professional competencies total publications included final review targeting knowledge motor skills cognitive skills narrowed teaching training odds ratio assessing professional competencies review demonstrates games able provide environment task authentic target competency collected ingame behaviors indicate games able elicit behavior related candidates ability level progress feedback freedom gameplay games implemented provide engaging enjoyable environment candidates studies examined adaptivity examined games authentic environment odds ratio task overall review gives overview game design principles gamebased performance assessment highlights research gaps regarding authenticity adaptivity concludes implications practice
"Stress and suicide risk among adolescents: the role of problematic internet use, gaming disorder and emotional regulation",https://link.springer.com/article/10.1186/s12889-024-17860-z,30 January 2024,"Andrés Chamarro, Adrian Díaz-Moreno, Ivan Bonilla, Ramon Cladellas, Mark D. Griffiths, Maria José Gómez-Romero, Joaquín T. Limonero","Previous studies have associated videogame playing and social media use with suicidal behaviors together with lower stress coping or poor emotion regulation strategies. Due to the inconclusive evidence regarding the factors associated with suicidal behavior, the present study aimed to overcome the limitations of previous research and explored the relationship between adolescent stress, problematic internet use (PIU), gaming disorder (GD), and emotional regulation (ER) in a cross-section design. It was hypothesized that stress would have a direct effect on suicide risk (SR) as well as being mediated by PIU, GD, and ER.",previous studies associated videogame playing social media use suicidal behaviors lower stress coping odds ratio poor emotion regulation strategies inconclusive evidence regarding factors associated suicidal behavior present study aimed overcome limitations previous research explored relationship adolescent stress problematic internet use problematic internet use gaming disorder generalized disorder emotional regulation emergency room crosssection design hypothesized stress direct effect suicide risk systematic review mediated problematic internet use generalized disorder emergency room
"Risky behaviors, substance use, and other lifestyle correlates of energy drink consumption in children and adolescents: a systematic review",https://link.springer.com/article/10.1007/s00431-021-04322-6,06 January 2022,"Michela Marinoni, Maria Parpinel, Alessio Gasparini, Monica Ferraroni, Valeria Edefonti","Increasing concerns have been raised on the health-related risks connected with energy drink (ED) consumption in children and adolescents, with high acute or chronic consumers exceeding 10% in either age group in Europe in 2011. Preliminary evidence has suggested a common pattern of ED and substance use, especially alcohol. Additional evidence has been accumulating very fast; in addition, other lifestyle and risky behaviors may contribute to shed light on the complex interplay of factors involved in ED consumption. We have undertaken a comprehensive systematic review of the evidence on psychosocial correlates of ED consumption in 0–18 years subjects, as published up to April 1, 2021, in MEDLINE/PubMed, PsycINFO, and Cochrane Reviews and Central Register of Controlled Trials, which allowed to select 104 original articles. Only ~ 10% of the papers provided results based on longitudinal analyses. A common pattern of ED consumption and polysubstance use, including alcohol, tobacco, and soft and hard drugs, was still confirmed in adolescents; violent and risky behaviors were also related to a higher ED consumption. In addition, frequent ED consumers are more likely to have bad dietary habits, including consumption of sugar-sweetened beverages and junk foods. A generally inconclusive evidence was found for sport/physical activities, although sedentary behaviors were generally related to ED consumption.",increasing concerns raised healthrelated risks connected energy drink eating disorder consumption children adolescents high acute odds ratio chronic consumers exceeding age group europe preliminary evidence suggested common pattern eating disorder substance use especially alcohol additional evidence accumulating fast addition lifestyle risky behaviors contribute shed light complex interplay factors involved eating disorder consumption undertaken comprehensive systematic review evidence psychosocial correlates eating disorder consumption years subjects published april medical literature analysis retrieval onlinepubmed psycinfo cochrane reviews central register controlled trials allowed select original articles papers provided results based longitudinal analyses common pattern eating disorder consumption polysubstance use including alcohol tobacco soft hard drugs confirmed adolescents violent risky behaviors related higher eating disorder consumption addition frequent eating disorder consumers likely bad dietary habits including consumption sugarsweetened beverages junk foods generally inconclusive evidence sportphysical activities sedentary behaviors generally related eating disorder consumption
Navigating Failure in a Museum-Based Videogame: Convergent and Divergent Mechanisms of Collaboration as Potential Levers for Informal Learning About Climate Change,https://link.springer.com/article/10.1007/s10956-024-10129-5,18 June 2024,"Lynne Zummo, Rebecca T. Menlove, Eliana Massey","The need for well-designed learning experiences about modern, anthropogenic climate change is great. In light of this need, many scholars have looked towards museums, arguing that as trusted institutions of informal learning, museums are uniquely positioned to support public engagement with contentious, impactful issues like climate change. However, while several museum exhibits have emerged over recent years, empirical research on museum-based learning experiences remains quite limited. We take a step towards advancing understanding of museum-based climate change learning through an empirical investigation at a natural history museum in the US. This study examines learners’ collaborative discourse within one exhibit about climate change, a multiplayer video game called Utah Climate Challenge (UCC). Investigating moments of failure and struggle, we analyze learners’ forms of collaboration through moment-to-moment discourse analysis. Findings demonstrate the importance of scaffolding multiple types of collaboration, as well as the potential for a collaborative, museum-based videogame to support learning of important science concepts relevant to climate change.",need welldesigned learning experiences modern anthropogenic climate change great light need scholars looked museums arguing trusted institutions informal learning museums uniquely positioned support public engagement contentious impactful issues like climate change museum exhibits emerged recent years empirical research museumbased learning experiences remains quite limited step advancing understanding museumbased climate change learning empirical investigation natural history museum united states study examines learners collaborative discourse exhibit climate change multiplayer video game called utah climate challenge universal credit center investigating moments failure struggle analyze learners forms collaboration momenttomoment discourse analysis findings demonstrate importance scaffolding multiple types collaboration potential collaborative museumbased videogame support learning important science concepts relevant climate change
Videogame Addiction Scale for Children: Psychometric Properties and Gamer Profiles in the Italian Context,https://link.springer.com/article/10.1007/s11469-020-00406-w,24 November 2020,"Lucia Monacis, Mark D. Griffiths, Rosalinda Cassibba, Maria Sinatra, Pasquale Musso","Given the few studies examining the evaluation of screening tools for videogame addiction among children aged 12 years and under, the present study analyzed (i) the psychometric properties (factorial structure, reliability indices and criterion validity) of the Italian version of the Videogame Addiction Scale for Children (VASC) and (ii) its construct validity using a person-centered approach. Two studies were carried out. In study 1, 728 participants completed a survey including demographic information, questions concerning the amount of time spent in playing videogames, and the Italian version of the VASC. In study 2, 1008 participants completed a survey comprising demographic information, the Italian version of the VASC, the Big Five Questionnaire for Children, and the social dimension subscale of the Multidimensional Self-Concept Scale. Findings supported (i) the four-dimensional first-order factor structure, (ii) full scalar invariance across age groups and partial scalar equivalence across gender, and (iii) reliability and criterion validity of the VASC. The construct validity of the VASC was confirmed by the identification of two distinct profiles (high videogame players vs. low videogame players) and their specific patterns of associations with personality traits and social self-concept. Interaction effects of gender × profiles on personality traits were evidenced. Overall, the findings provided validity for the use of the Italian version of the VASC and extending the body of literature on videogame addiction.",given studies examining evaluation screening tools videogame addiction children aged years present study analyzed psychometric properties factorial structure reliability indices criterion validity italian version videogame addiction scale children vascular ii construct validity using personcentered approach studies carried study participants completed survey including demographic information questions concerning time spent playing videogames italian version vascular study participants completed survey comprising demographic information italian version vascular big questionnaire children social dimension subscale multidimensional selfconcept scale findings supported fourdimensional firstorder factor structure ii scalar invariance age groups partial scalar equivalence gender iii reliability criterion validity vascular construct validity vascular confirmed identification distinct profiles high videogame players vs low videogame players specific patterns associations personality traits social selfconcept interaction effects gender profiles personality traits evidenced overall findings provided validity use italian version vascular extending body literature videogame addiction
Location attributes explaining the entry of firms in creative industries: evidence from France,https://link.springer.com/article/10.1007/s00168-022-01196-w,05 April 2023,"Josep-Maria Arauzo-Carod, Eva Coll-Martínez, Camelia Turcu",This paper focuses on creative industries and the role played by the existing spatial distribution and agglomeration economies of these activities in relation to their entry decisions. We rely on employment and firm-level data in the creative industries (provided by INSEE) and compare the location of new establishments in the creative and non-creative industries between 2009 and 2013 in French departments (NUTS 3 regions). We use count data models and spatial econometrics to show that location determinants are rather similar in creative and non-creative industries and that specialisation in creative industries positively influences the entry of all other industries. The French case provides new insights to understand the geographical patterns of creative industries.,paper focuses creative industries role played existing spatial distribution agglomeration economies activities relation entry decisions rely employment firmlevel data creative industries provided national institute statistics economic studies compare location new establishments creative noncreative industries french departments nomenclature territorial units statistics regions use count data models spatial econometrics location determinants similar creative noncreative industries specialisation creative industries positively influences entry industries french case provides new insights understand geographical patterns creative industries
"Can risky behaviors, gaming addiction, and family sense of coherence accurately classify gender among university students?",https://link.springer.com/article/10.1007/s12144-020-01284-0,03 January 2021,"Mustafa Savci, Mustafa Ercengiz, Banu Yildiz, Mark >D. Griffiths, Ferda Aysan","The present study examined whether risky behaviors, gaming addiction, and family sense of coherence classify female and male university students correctly. For this purpose, Logistic Regression Analysis (LRA) was used. The main purpose of LRA is to estimate which group the individual is a member of. LRA is widely used to predict categorical data (i.e., male and female, addicted and non-addicted, single and married). The present study comprised 281 university students (148 females and 133 males) who had been playing digital videogames for at least six months. The measures used included the Risk Behaviors Scale, Digital Game Addiction Scale, and Family Sense of Coherence Scale-Short Form. Analysis demonstrated that risky behavior, gaming addiction, and family sense of coherence predicted gender with 76.5% accuracy. In other words, risky behaviors, gaming addiction, and family sense of coherence scores can predict a high probability that an individual is male or female. More specifically, risky behaviors (school dropout, antisocial behaviors, alcohol use, smoking, and eating habits) and gaming addiction contributed significantly to the classification of an individual being male or female. The biggest contribution in the classification of gender was digital gaming addiction. Family sense of coherence and risky behaviors such as substance use and suicide tendency did not contribute significantly to gender classification. The present study provided important resulted in terms of demonstrating risk factors related to gender.",present study examined risky behaviors gaming addiction family sense coherence classify female male university students correctly purpose logistic regression analysis latent response analysis used main purpose latent response analysis estimate group individual member latent response analysis widely used predict categorical data male female addicted nonaddicted single married present study comprised university students females males playing digital videogames months measures used included risk behaviors scale digital game addiction scale family sense coherence scaleshort form analysis demonstrated risky behavior gaming addiction family sense coherence predicted gender accuracy words risky behaviors gaming addiction family sense coherence scores predict high probability individual male odds ratio female specifically risky behaviors school dropout antisocial behaviors alcohol use smoking eating habits gaming addiction contributed significantly classification individual male odds ratio female biggest contribution classification gender digital gaming addiction family sense coherence risky behaviors substance use suicide tendency did contribute significantly gender classification present study provided important resulted terms demonstrating risk factors related gender
Personality differences between videogame vs. non-videogame consumers using the HEXACO model,https://link.springer.com/article/10.1007/s12144-020-00793-2,19 May 2020,"Amir Zaib Abbasi, Ding Hooi Ting, Helmut Hlavacs, Bradley Wilson, Umair Rehman, Ali Arsalan","This study investigates whether there exist personality differences between consumers of videogames and non-consumers of videogames. This is explored through the HEXACO model, which derives HEXACO scores indicative of a particular personality profile. The model assesses the dimensions of honesty-humility, emotionality, extraversion, agreeableness, conscientiousness, and openness to experience. The investigation utilized a causal-comparative approach to examine personality differences. A sample of 855 teenage students attending private and public institutions in the Perak and Selangor states of Malaysia participated in the study. The sample contained 475 non-videogame consumers and 380 videogame consumers. The study revealed that videogame consumers have a personality profile that is significantly different on agreeableness, extraversion, conscientiousness, and openness to experience compared to non-videogame consumers. Our study is first to utilize the HEXACO model to evaluate personality differences between videogame consumers and non-videogame consumers.",study investigates exist personality differences consumers videogames nonconsumers videogames explored hexaco personality inventory model derives hexaco personality inventory scores indicative particular personality profile model assesses dimensions honestyhumility emotionality extraversion agreeableness conscientiousness openness experience investigation utilized causalcomparative approach examine personality differences sample teenage students attending private public institutions perak selangor states malaysia participated study sample contained nonvideogame consumers videogame consumers study revealed videogame consumers personality profile significantly different agreeableness extraversion conscientiousness openness experience compared nonvideogame consumers study utilize hexaco personality inventory model evaluate personality differences videogame consumers nonvideogame consumers
Impact of AI-assisted music classification in video games for sustaining effectiveness,https://link.springer.com/article/10.1007/s00500-023-08093-0,17 April 2023,Yang Xia,"Artificial intelligence (AI) and machine learning (ML) applications are being used in every aspect of life as information technology develops and advances. Music is one of these applications that has gotten a lot of attention in the previous several years. AI-based creative and clever solutions have altered the music industry. These technologies make it incredibly easy for composers to create high-quality music. Artificial intelligence and music (AIM) is a new field that is being utilized to create and manage sounds for a variety of media, including the Internet, video games, and so on. Sounds in games are incredibly effective and can be made even more appealing with the use of AI techniques. The quality of the game's noises has a direct impact on the player's productivity and enjoyment. Game designers can use computer-assisted technologies to create sounds for various scenarios or situations in a game, such as horror, suspense, and conveying information to the player. A game's useful and effective audio can assist visually challenged players during various game events. A high level of musicology knowledge is required for better music creation and composition. AIM has made a variety of sophisticated and interactive tools available for efficient and effective music learning. The goal of this work is to provide a comprehensive assessment of the literature on AI-assisted music classification in video games. The study exhibited literature analysis from a variety of viewpoints, which will be used by researchers to develop new solutions in the sector.",artificial intelligence artificial intelligence machine learning machine learning applications used aspect life information technology develops advances music applications gotten lot attention previous years artificial intelligencebased creative clever solutions altered music industry technologies make incredibly easy composers create highquality music artificial intelligence music artificial intelligence medicine new field utilized create manage sounds variety media including internet video games sounds games incredibly effective appealing use artificial intelligence techniques quality games noises direct impact players productivity enjoyment game designers use computerassisted technologies create sounds various scenarios odds ratio situations game horror suspense conveying information player games useful effective audio assist visually challenged players various game events high level musicology knowledge required better music creation composition artificial intelligence medicine variety sophisticated interactive tools available efficient effective music learning goal work provide comprehensive assessment literature artificial intelligenceassisted music classification video games study exhibited literature analysis variety viewpoints used researchers develop new solutions sector
Longitudinal Dynamic Relationships Between Videogame Use and Symptoms of Gaming Disorder and Depression Among Chinese Children and Adolescents,https://link.springer.com/article/10.1007/s10964-024-02068-6,12 August 2024,"Mengmeng Zhang, Qian Nie, Wenting Ye, Yifan Wang, Zhiwei Yang, Zhaojun Teng","Although previous studies have shown a close relationship between gaming disorder and depressive symptoms, few have measured normal videogame use, symptoms of gaming disorder, and depressive symptoms concurrently. The longitudinal dynamics between these variables remain unclear. This study used two demographic cohorts to examine the longitudinal relationship between gaming and depressive symptoms: children (n = 1513, 46.9% girls, Mage ± SD = 9.63 ± 0.58 years) and adolescents (n = 1757, 48.5% girls, Mage ± SD = 12.55 ± 0.70 years). Random intercept cross-lagged panel models (RI-CLPMs) were employed to distinguish between within- and between-person levels of gaming and depressive symptoms. The RI-CLPM results showed a stable link between symptoms of gaming disorder and depression at the between-person level for both children and adolescents. At the within-person level, among children, depressive symptoms positively predicted subsequent gaming disorder symptoms, but gaming disorder symptoms were not a significant predictor of depressive symptoms at this level. Among adolescents, there was no significant cross-lagged effect between symptoms of gaming disorder and depression at the within-person level. Additionally, there was no significant cross-lagged effect between normal videogame use and depressive symptoms in either cohort. These results highlight the different effects of normal videogame use and gaming disorder symptoms associated with depressive symptoms. The different effects on children and adolescents underscore the importance of considering the different developmental stages in the study of gaming and mental health outcomes.",previous studies shown close relationship gaming disorder depressive symptoms measured normal videogame use symptoms gaming disorder depressive symptoms concurrently longitudinal dynamics variables remain unclear study used demographic cohorts examine longitudinal relationship gaming depressive symptoms children n girls mage standard deviation years adolescents n girls mage standard deviation years random intercept crosslagged panel models response inhibitionclpms employed distinguish betweenperson levels gaming depressive symptoms response inhibitioncrosslagged panel model results showed stable link symptoms gaming disorder depression betweenperson level children adolescents withinperson level children depressive symptoms positively predicted subsequent gaming disorder symptoms gaming disorder symptoms significant predictor depressive symptoms level adolescents significant crosslagged effect symptoms gaming disorder depression withinperson level additionally significant crosslagged effect normal videogame use depressive symptoms cohort results highlight different effects normal videogame use gaming disorder symptoms associated depressive symptoms different effects children adolescents underscore importance considering different developmental stages study gaming mental health outcomes
Online Gaming Addiction and Basic Psychological Needs Among Adolescents: The Mediating Roles of Meaning in Life and Responsibility,https://link.springer.com/article/10.1007/s11469-022-00994-9,10 January 2023,"Alican Kaya, Nuri Türk, Hasan Batmaz, Mark D. Griffiths","Individuals whose basic needs are naturally satisfied are much less dependent on their environment and more autonomous. Basic psychological needs (i.e., the general motivators of human actions) are significant predictors of online gaming addiction. Moreover, it has been posited that meaning and responsibility in life are at the center of life from an existential point of view. Therefore, a hypothetical model was tested to examine the relationships between basic psychological needs (autonomy, competence, relatedness), online gaming addiction, responsibility, and meaning in life. Data were collected from a sample of 546 participants. Mediation analysis was conducted, and the results indicated that basic psychological needs, online gaming addiction, responsibility, and meaning in life had significant negative and positive relationships. The findings indicated that responsibility and meaning in life had a serial mediating effect in the relationship between basic psychological needs and online gaming addiction. The findings also showed that the inverse relationship between online gaming addiction and basic psychological needs was at least partially explained by meaning in life and responsibility. The results of the present study are of great importance and suggest that interventions to satisfy the basic psychological needs of adolescents may help prevent online gaming addiction.",individuals basic needs naturally satisfied dependent environment autonomous basic psychological needs general motivators human actions significant predictors online gaming addiction posited meaning responsibility life center life existential point view hypothetical model tested examine relationships basic psychological needs autonomy competence relatedness online gaming addiction responsibility meaning life data collected sample participants mediation analysis conducted results indicated basic psychological needs online gaming addiction responsibility meaning life significant negative positive relationships findings indicated responsibility meaning life serial mediating effect relationship basic psychological needs online gaming addiction findings showed inverse relationship online gaming addiction basic psychological needs partially explained meaning life responsibility results present study great importance suggest interventions satisfy basic psychological needs adolescents help prevent online gaming addiction
"Longitudinal Relationships Between School Climate, Academic Achievement, and Gaming Disorder Symptoms Among Chinese Adolescents",https://link.springer.com/article/10.1007/s10964-024-01952-5,24 February 2024,"Qian Nie, Zhaojun Teng, Chunyan Yang, Mark D. Griffiths, Cheng Guo","Despite growing concerns regarding the development of gaming disorder symptoms among adolescents, the longitudinal relationship between school factors and gaming disorder symptoms remains far from being fully understood. This two-year longitudinal study examined the relationship between school climate perceptions, academic achievement, and gaming disorder symptoms among three distinct demographic cohorts: preadolescents (n = 1513; 46.9% girls, Mage = 10.64 years, SD = 0.56), early adolescents (n = 1771; 48.3% girls, Mage = 13.54 years, SD = 0.70), and late adolescents (n = 2385; 50.1% girls, Mage = 16.41 years, SD = 0.59). A four-wave study was conducted (six months apart) using random intercept cross-lagged panel models (RI-CLPMs) to separate the within-person (state level) from the between-person (trait level) effects. The results obtained from the RI-CLPMs indicated that fluctuations in school climate perceptions negatively predicted subsequent changes in gaming disorder symptoms among preadolescents at the within-person level, but not among early and late adolescents. Fluctuations relating to gaming disorder symptoms also negatively predicted subsequent changes regarding academic achievement in late adolescents, but not in preadolescents and early adolescents. The effect of school-related factors on gaming disorder symptoms varies across different developmental stages. While preadolescents may represent a particularly susceptible subgroup for gaming disorder in terms of being predicted by their school environment, late adolescents appear to be more vulnerable to predictors of gaming disorder symptoms. The current study also discusses the implications of school-wide programs aimed at improving school climate and preventing the development of gaming disorder symptoms during key developmental periods.",despite growing concerns regarding development gaming disorder symptoms adolescents longitudinal relationship school factors gaming disorder symptoms remains far fully understood twoyear longitudinal study examined relationship school climate perceptions academic achievement gaming disorder symptoms distinct demographic cohorts preadolescents n girls mage years standard deviation early adolescents n girls mage years standard deviation late adolescents n girls mage years standard deviation fourwave study conducted months apart using random intercept crosslagged panel models response inhibitionclpms separate withinperson state level betweenperson trait level effects results obtained response inhibitionclpms indicated fluctuations school climate perceptions negatively predicted subsequent changes gaming disorder symptoms preadolescents withinperson level early late adolescents fluctuations relating gaming disorder symptoms negatively predicted subsequent changes regarding academic achievement late adolescents preadolescents early adolescents effect schoolrelated factors gaming disorder symptoms varies different developmental stages preadolescents represent particularly susceptible subgroup gaming disorder terms predicted school environment late adolescents appear vulnerable predictors gaming disorder symptoms current study discusses implications schoolwide programs aimed improving school climate preventing development gaming disorder symptoms key developmental periods
Assessing contributing factors to fine motor skills in preclinical medical students,https://link.springer.com/article/10.1007/s44186-023-00108-6,31 January 2023,"Jessica Davis-Pollard, Blake Christensen, Kalon Morgan, Michael Dea, Kelsey Link, Andrew Nigh, Isain Zapata, Susan Carter",The use of standardized simulation assessments can be an important tool to help medical students identify their deficiencies and enhance their surgical skill competence. Increasing student’s surgical competence will have a long impact in patient outcomes that will reduce patient risk and surgeon’s burnout.,use standardized simulation assessments important tool help medical students identify deficiencies enhance surgical skill competence increasing students surgical competence long impact patient outcomes reduce patient risk surgeons burnout
Time and Access to Copyright-Protected Works in the Digital Age,https://link.springer.com/article/10.1007/s40319-024-01493-1,13 June 2024,Eleni-Tatiani Synodinou,,
Truth in interactive fiction,https://link.springer.com/article/10.1007/s11229-022-03935-0,21 October 2022,Alex Fisher,"This paper provides an account of truth in interactive fiction. Interactive fiction allows the audience to make choices, resulting in many different possible fictions within each interactive fiction, unlike in literary fiction where there is just one. Adequately capturing this feature of interactive fiction requires us to address familiar issues regarding impossible fiction and the nature of time in fiction. Truth in interactive fiction thus requires a complex account to capture its multitude of fictions. It is argued that a full account of truth in interactive fiction requires distinguishing two works for each interactive fiction, which contain distinct fictional truths. The actual work encompasses what is in fact represented as fictional (hence mistakes can be fictionally true in this work), whilst in the implied work, truth in fiction is governed by authorial intention, hence mistakes are not fictionally true. This dual account best captures our aesthetic evaluation of interactive fictions, for which we often need to distinguish how the work actually is from how it was intended to be.",paper provides account truth interactive fiction interactive fiction allows audience make choices resulting different possible fictions interactive fiction unlike literary fiction just adequately capturing feature interactive fiction requires united states address familiar issues regarding impossible fiction nature time fiction truth interactive fiction requires complex account capture multitude fictions argued account truth interactive fiction requires distinguishing works interactive fiction contain distinct fictional truths actual work encompasses fact represented fictional mistakes fictionally true work whilst implied work truth fiction governed authorial intention mistakes fictionally true dual account best captures aesthetic evaluation interactive fictions need distinguish work actually intended
From Bench to Podcast: Roman Sarrazin-Gendron,https://link.springer.com/article/10.1038/s41587-024-02309-w,17 July 2024,,,
"The Relationship Between Early Maladaptive Schemas, Depression, Anxiety and Problematic Video Gaming Among Female and Male Gamers",https://link.springer.com/article/10.1007/s11469-022-00858-2,27 June 2022,"Andrzej Cudo, Mateusz Dobosz, Mark D. Griffiths, Daria J. Kuss",,
Rehabilitation of amblyopia using a digital platform for visual training combined with patching in children: a prospective study,https://link.springer.com/article/10.1007/s00417-024-06475-0,05 April 2024,"Carlos J. Hernández-Rodríguez, Patricia Ferrer-Soldevila, Alberto Artola-Roig, David P. Piñero",To assess the possible benefits of the use of perceptual learning and dichoptic therapy combined with patching in children with amblyopia over the use of only patching.,assess possible benefits use perceptual learning dichoptic therapy combined patching children amblyopia use patching
"Media and Psychoanalysis, A Critical Introduction (2022, Karnac) by Jacob Johanssen and Steffen Kruger Why is psychoanalysis relevant in areas outside the clinic? Abook review by Agnieszka Piotrowska",https://link.springer.com/article/10.1057/s41286-024-00184-z,01 March 2024,Agnieszka Piotrowska,,
Impact of the first COVID-19 lockdown on the relationship with parents and peers in a cohort of adolescents with somatic symptom disorder,https://link.springer.com/article/10.1186/s13052-022-01300-y,20 June 2022,"Andrea Trombetta, Laura De Nardi, Giorgio Cozzi, Luca Ronfani, Lara Bigolin, Egidio Barbi, Matteo Bramuzzo, Giuseppe Abbracciavento",To investigate the coping strategies of a group of adolescents with somatic symptom disorder compared to non-somatic symptom disorder peers during the COVID-19 related lockdown.,investigate coping strategies group adolescents somatic symptom disorder compared nonsomatic symptom disorder peers coronavirus disease related lockdown
The Role of Avoidance Coping and Escape Motives in Problematic Online Gaming: A Systematic Literature Review,https://link.springer.com/article/10.1007/s11469-020-00422-w,30 November 2020,"Fiordalisa Melodia, Natale Canale, Mark D. Griffiths","Over the past two decades, research into Internet Gaming Disorder (IGD) has markedly increased due to worldwide spread of online videogames. The reasons and motivations for playing greatly contribute to its popularity. Escapism and avoidance coping strategies have been studied extensively and conceptualized as motives to play. A growing research base has demonstrated a strong association between these motives to play and negative gaming outcomes. Consequently, the aim of the present systematic review was to provide a comprehensive overview of the role of avoidance coping and escape motives in problematic online gaming. A systematic literature search was carried out using academic databases and a total of 26 empirical studies met the inclusion criteria. The results show that escapism and avoidance coping represent both a predictor of IGD and play a mediating role between many psychological factors (e.g., self-esteem, loneliness, self-concept, anxiety) and problematic online gaming. However, the review also highlights the paucity of longitudinal studies that hinder the determination of the causal direction of these associations. Despite this limitation, the evidence has important implication for developing more effective prevention programs and clinical interventions.",past decades research internet gaming disorder internet gaming disorder markedly increased worldwide spread online videogames reasons motivations playing greatly contribute popularity escapism avoidance coping strategies studied extensively conceptualized motives play growing research base demonstrated strong association motives play negative gaming outcomes consequently artificial intelligence medicine present systematic review provide comprehensive overview role avoidance coping escape motives problematic online gaming systematic literature search carried using academic databases total empirical studies met inclusion criteria results escapism avoidance coping represent predictor internet gaming disorder play mediating role psychological factors selfesteem loneliness selfconcept anxiety problematic online gaming review highlights paucity longitudinal studies hinder determination causal direction associations despite limitation evidence important implication developing effective prevention programs clinical interventions
Systematic Review of Gaming and Neuropsychological Assessment of Social Cognition,https://link.springer.com/article/10.1007/s11065-023-09599-y,05 September 2023,"Elodie Hurel, Marie Grall-Bronnec, Orianne Bouillard, Marion Chirio-Espitalier, Malcolm Barrangou-Poueys-Darlas, Gaëlle Challet-Bouju",,
Relationship of sleep quality with screen-based sedentary time and physical activity in adolescents — the moderating effect of body mass index,https://link.springer.com/article/10.1007/s11325-021-02519-5,15 January 2022,"Tatiana M. Damato, William R. Tebar, Crystian B. S. Oliveira, Bruna T. C. Saraiva, Priscila K. Morelhao, Raphael M. Ritti-Dias, Diego G. D. Christofaro","To analyze the association of sleep quality with reported screen-based sedentary time and reported physical activity, among overweight adolescents.",analyze association sleep quality reported screenbased sedentary time reported physical activity overweight adolescents
Associations between screen viewing at 2 and 3.5 years and drawing ability at 3.5 years among children from the French nationwide Elfe birth cohort,https://link.springer.com/article/10.1038/s41598-023-50767-0,03 January 2024,"Lorraine Poncet, Mélèa Saïd, Shuai Yang, Falk Müller-Riemenschneider, Claire Berticat, Michel Raymond, Mélissa Barkat-Defradas, Marie-Aline Charles, Jonathan Y. Bernard","The effect of screen viewing on children’s cognitive development has been of concern among parents and researchers. This study investigated the association between children screen time, as reported by parents, and drawing ability, and the confounding effects of socioeconomic characteristics (such as parental education, household income, migration status) and children’s competing activities (such as drawing practice, extracurricular activity, outdoor time, sleep time, time playing with parents). Participants included 7577 children aged 3.5 years (50% girls) who underwent the Draw-a-person test (McCarthy score [range = 0–12 points]) in the French nationwide Elfe birth cohort, initiated in 2011. Sex-stratified zero-inflated Poisson regression models were used. Increased screen time was associated with a higher likelihood to obtain a null score in boys (OR 1.15, 95% CI 1.07–1.23) and girls (1.13 [1.03–1.24]) and a lower score in girls only (β =  − 0.02, 95% CI − 0.04; − 0.01). After adjusting for SES, associations were no longer observed, indicating that the association between screen time and drawing abilities was confounded by socioeconomic characteristics.",effect screen viewing childrens cognitive development concern parents researchers study investigated association children screen time reported parents drawing ability confounding effects socioeconomic characteristics parental education household income migration status childrens competing activities drawing practice extracurricular activity outdoor time sleep time time playing parents participants included children aged years girls underwent drawaperson test mccarthy score range points french nationwide elfe birth cohort initiated sexstratified zeroinflated poisson regression models used increased screen time associated higher likelihood obtain null score boys odds ratio confidence interval girls lower score girls confidence interval adjusting socioeconomic status associations longer observed indicating association screen time drawing abilities confounded socioeconomic characteristics
